ticker,name
005930,Samsung Electronics
000660,SK Hynix
035420,NAVER
035720,Kakao
005380,Hyundai Motor
000270,Kia
012330,Hyundai Mobis
051910,LG Chem
373220,LG Energy Solution
006400,Samsung SDI
068270,Celltrion
207940,Samsung Biologics
005490,POSCO Holdings
000810,Samsung Fire
105560,KB Financial
055550,Shinhan Financial
086790,Hana Financial
316140,Woori Financial
032830,Samsung Life
003550,LG
066570,LG Electronics
015760,KEPCO
017670,SK Telecom
030200,KT
034730,SK
096770,SK Innovation
018260,Samsung SDS
028260,Samsung C&T
009150,Samsung Electro-Mechanics
010130,Korea Zinc
011200,HMM
010950,S-Oil
033780,KT&G
090430,Amorepacific
251270,Netmarble
259960,Krafton
352820,HYBE
247540,Ecopro BM
086520,Ecopro
035900,JYP Entertainment
041510,SM Entertainment
112040,Wemade
263750,Pearl Abyss
078340,Com2uS
293490,Kakao Games
000720,Hyundai Engineering & Construction
047810,Korea Aerospace
042660,Hanwha Ocean
010140,Samsung Heavy Industries
329180,HD Hyundai Heavy Industries
267250,HD Hyundai
241560,Doosan Bobcat
034020,Doosan Enerbility
000150,Doosan
064350,Hyundai Rotem
272210,Hanwha Systems
012450,Hanwha Aerospace
009540,HD Korea Shipbuilding
010620,HD Hyundai Mipo
004020,Hyundai Steel
011790,SKC
402340,SK Square
011070,LG Innotek
036570,NCSoft
326030,SK Biopharm
302440,SK Bioscience
128940,Hanmi Pharmaceutical
185750,Chong Kun Dang
006280,Green Cross
008930,Hanmi Science
000100,Yuhan
071050,Korea Investment Holdings
039490,Kiwoom Securities
016360,Samsung Securities
006800,Mirae Asset Securities
024110,Industrial Bank of Korea
138040,Meritz Financial
086280,Hyundai Glovis
097950,CJ CheilJedang
000120,CJ Logistics
001040,CJ
004170,Shinsegae
023530,Lotte Shopping
028050,Samsung E&A
036460,Korea Gas
161390,Hankook Tire
018880,HanOn Systems
271560,Orion
007070,GS Retail
282330,BGF Retail
021240,Coway
192820,Cosmax
051900,LG H&H
161890,Kolmar Korea
047050,POSCO International
003670,POSCO Future M
088980,Macquarie Korea Infra
005830,DB Insurance
032640,LG Uplus
138930,BNK Financial
139480,E-Mart
004990,Lotte
